slice,B_Area1_5
1,0.03728
1,0.000123
1,0.000185
1,0.003137
1,0.000123
1,0.000062
1,0.000185
1,0.004675
1,0.000984
1,0.6049
1,0.06594
1,0.000308
1,0.000123
2,0.02264
2,0.000123
2,0.000062
2,0.000123
2,0.000738
2,0.000062
2,0.000062
2,0.000185
2,0.000431
2,0.000984
2,0.000062
2,0.000062
2,0.000554
2,0.0764
2,0.5714
2,0.000062
3,0.000185
3,0.000246
3,0.09799
3,0.56
3,0.001353
3,0.001538
3,0.000062
3,0.000185
3,0.000123
4,0.591
4,0.003506
4,0.000123
4,0.000062
4,0.000062
4,0.1088
4,0.000062
4,0.000062
5,0.6204
5,0.1486
5,0.000062
6,0.6123
6,0.1872
6,0.000062
7,0.6535
7,0.1506
7,0.000062
8,0.6535
8,0.000246
8,0.1327
9,0.6461
9,0.01064
9,0.000062
9,0.1332
10,0.6249
10,0.000123
10,0.01261
10,0.1098
10,0.003506
11,0.000062
11,0.5637
11,0.000062
11,0.006951
11,0.000185
11,0.1164
12,0.2199
12,0.000431
12,0.1499
12,0.08335
12,0.000492
12,0.01821
12,0.1115
13,0.1565
13,0.1232
13,0.1126
13,0.000308
13,0.1091
14,0.07622
14,0.000369
14,0.005167
14,0.08686
14,0.1414
14,0.002092
14,0.1113
15,0.04355
15,0.02534
15,0.1597
15,0.004306
15,0.00326
15,0.000308
15,0.1144
16,0.02627
16,0.02042
16,0.17
16,0.000861
16,0.0008
16,0.1209
17,0.01163
17,0.01562
17,0.1754
17,0.001353
17,0.1215
17,0.000246
18,0.01255
18,0.1565
18,0.008366
18,0.1248
18,0.002891
18,0.000185
19,0.000062
19,0.009781
19,0.1777
19,0.000554
19,0.003568
19,0.1345
19,0.000123
19,0.000308
20,0.3609
20,0.000369
20,0.000308
20,0.000246
21,0.3839
21,0.003814
22,0.3937
22,0.001722
22,0.00203
23,0.1078
23,0.2659
24,0.1083
24,0.221
25,0.1103
25,0.007874
25,0.004737
25,0.1346
25,0.01181
25,0.000246
26,0.1158
26,0.002092
26,0.1358
27,0.1254
27,0.1372
28,0.1343
28,0.1431
29,0.1365
29,0.008674
29,0.1541
29,0.005782
30,0.1222
30,0.02338
30,0.1596
30,0.000062
30,0.000062
30,0.000123
31,0.05992
31,0.04281
31,0.2101
31,0.000062
32,0.05825
32,0.005413
32,0.02694
32,0.2929
33,0.05653
33,0.000615
33,0.03199
33,0.000554
33,0.2567
33,0.000123
33,0.000123
34,0.05573
34,0.03802
34,0.02147
34,0.3173
34,0.000185
35,0.04712
35,0.000246
35,0.04804
35,0.000185
35,0.04933
35,0.002092
35,0.3286
35,0.000062
35,0.001722
35,0.000062
35,0.000062
35,0.000246
35,0.000062
36,0.04515
36,0.04952
36,0.000492
36,0.07862
36,0.002215
36,0.3485
36,0.001661
36,0.000123
36,0.000369
36,0.000123
36,0.000123
37,0.05161
37,0.000492
37,0.04478
37,0.4841
38,0.000492
38,0.000123
38,0.04448
38,0.003137
38,0.03303
38,0.000062
38,0.5062
38,0.000185
39,0.007689
39,0.000246
39,0.03857
39,0.000554
39,0.02165
39,0.5124
40,0.03734
40,0.01544
40,0.5055
41,0.02959
41,0.008181
41,0.4863
41,0.000369
41,0.000185
